Ålder	Matkostnader	Övrigt	Individkostnad
0	 1 100,00 	1430	 2 530,00    
1	 960,00 	1750	 2 710,00    
2	 1 220,00 	1750	 2 970,00    
3	 1 220,00 	1750	 2 970,00    
4	 1 220,00 	1710	 2 930,00    
5	 1 220,00 	1710	 2 930,00    
6	 1 760,00 	1710	 3 470,00    
7	 1 760,00 	1930	 3 690,00    
8	 1 760,00 	1930	 3 690,00    
9	 1 760,00 	1930	 3 690,00    
10	 2 220,00 	1930	 4 150,00    
11	 2 220,00 	1920	 4 140,00    
12	 2 220,00 	1920	 4 140,00    
13	 2 220,00 	1920	 4 140,00    
14	 2 670,00 	1920	 4 590,00    
15	 2 670,00 	2200	 4 870,00    
16	 2 670,00 	2200	 4 870,00    
17	 2 670,00 	2200	 4 870,00    
18	 2 920,00 	2030	 4 950,00    
19	 2 920,00 	2030	 4 950,00    
20	 2 920,00 	2030	 4 950,00    
21	 2 920,00 	2030	 4 950,00    
22	 2 920,00 	2030	 4 950,00    
23	 2 920,00 	2030	 4 950,00    
24	 2 920,00 	2030	 4 950,00    
25	 2 920,00 	2030	 4 950,00    
26	 2 920,00 	1960	 4 880,00    
27	 2 920,00 	1960	 4 880,00    
28	 2 920,00 	1960	 4 880,00    
29	 2 920,00 	1960	 4 880,00    
30	 2 920,00 	1960	 4 880,00    
31	 2 750,00 	1960	 4 710,00    
32	 2 750,00 	1960	 4 710,00    
33	 2 750,00 	1960	 4 710,00    
34	 2 750,00 	1960	 4 710,00    
35	 2 750,00 	1960	 4 710,00    
36	 2 750,00 	1960	 4 710,00    
37	 2 750,00 	1960	 4 710,00    
38	 2 750,00 	1960	 4 710,00    
39	 2 750,00 	1960	 4 710,00    
40	 2 750,00 	1960	 4 710,00    
41	 2 750,00 	1960	 4 710,00    
42	 2 750,00 	1960	 4 710,00    
43	 2 750,00 	1960	 4 710,00    
44	 2 750,00 	1960	 4 710,00    
45	 2 750,00 	1960	 4 710,00    
46	 2 750,00 	1960	 4 710,00    
47	 2 750,00 	1960	 4 710,00    
48	 2 750,00 	1960	 4 710,00    
49	 2 750,00 	1960	 4 710,00    
50	 2 750,00 	1910	 4 660,00    
51	 2 750,00 	1910	 4 660,00    
52	 2 750,00 	1910	 4 660,00    
53	 2 750,00 	1910	 4 660,00    
54	 2 750,00 	1910	 4 660,00    
55	 2 750,00 	1910	 4 660,00    
56	 2 750,00 	1910	 4 660,00    
57	 2 750,00 	1910	 4 660,00    
58	 2 750,00 	1910	 4 660,00    
59	 2 750,00 	1910	 4 660,00    
60	 2 750,00 	1910	 4 660,00    
61	 2 470,00 	1910	 4 380,00    
62	 2 470,00 	1910	 4 380,00    
63	 2 470,00 	1910	 4 380,00    
64	 2 470,00 	1910	 4 380,00    
65	 2 470,00 	1910	 4 380,00    
66	 2 470,00 	1910	 4 380,00    
67	 2 470,00 	1910	 4 380,00    
68	 2 470,00 	1910	 4 380,00    
69	 2 470,00 	1910	 4 380,00    
70	 2 470,00 	1910	 4 380,00    
71	 2 470,00 	1910	 4 380,00    
72	 2 470,00 	1910	 4 380,00    
73	 2 470,00 	1910	 4 380,00    
74	 2 470,00 	1910	 4 380,00    
75	 2 470,00 	1910	 4 380,00    
76	 2 470,00 	1910	 4 380,00    
